         423826 function calls (410833 primitive calls) in 1.550 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 cli.py:4(<module>)
        3    0.000    0.000    0.066    0.022 functional.py:1(<module>)
      335    0.000    0.000    0.000    0.000 typing.py:317(__eq__)
        5    0.000    0.000    0.024    0.005 __init__.py:10(<module>)
        2    0.000    0.000    0.014    0.007 __init__.py:9(<module>)
       28    0.000    0.000    0.000    0.000 argparse.py:1465(_get_optional_kwargs)
       88    0.000    0.000    0.001    0.000 traitlets.py:757(setup_class)
       74    0.000    0.000    0.000    0.000 argparse.py:588(_format_args)
        3    0.000    0.000    0.000    0.000 _six.py:64(with_metaclass)
      122    0.000    0.000    0.000    0.000 typing.py:199(_check_generic)
      141    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.006    0.006 fromnumeric.py:3(<module>)
      152    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
    45/39    0.000    0.000    0.030    0.001 <frozen importlib._bootstrap_external>:1048(exec_module)
        7    0.000    0.000    0.062    0.009 __init__.py:2(<module>)
        6    0.000    0.000    0.004    0.001 tokenize.py:443(open)
      111    0.000    0.000    0.001    0.000 _collections_abc.py:657(get)
      126    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
      457    0.000    0.000    0.000    0.000 typing.py:655(__eq__)
       11    0.000    0.000    0.002    0.000 argparse.py:1625(__init__)
        1    0.000    0.000    0.000    0.000 formatters.py:378(<listcomp>)
       96    0.000    0.000    0.014    0.000 decorator.py:259(decorator)
       72    0.000    0.000    0.000    0.000 magic_arguments.py:73(_format_action_invocation)
        1    0.000    0.000    0.003    0.003 coroutines.py:1(<module>)
        1    0.000    0.000    0.007    0.007 socket.py:47(<module>)
    53/34    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.005    0.005 kl.py:1(<module>)
       20    0.000    0.000    0.000    0.000 filters.py:319(__init__)
      273    0.000    0.000    0.000    0.000 function_base.py:446(_add_docstring)
      117    0.000    0.000    0.000    0.000 decorator.py:170(<listcomp>)
      807    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       11    0.000    0.000    0.000    0.000 __init__.py:381(__getitem__)
       32    0.000    0.000    0.000    0.000 traitlets.py:2175(__init__)
        2    0.000    0.000    0.004    0.002 function_base.py:1(<module>)
      704    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.331    0.331 interactiveshell.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2388(extend_all)
      354    0.000    0.000    0.000    0.000 traitlets.py:383(class_init)
        1    0.000    0.000    0.002    0.002 typing.py:19(<module>)
       35    0.000    0.000    0.000    0.000 textwrap.py:179(<listcomp>)
       37    0.000    0.000    0.000    0.000 argparse.py:258(add_argument)
     1128    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       22    0.000    0.000    0.001    0.000 gettext.py:474(find)
        1    0.000    0.000    0.001    0.001 shortcuts.py:4(<module>)
      114    0.000    0.000    0.000    0.000 inspect.py:179(iscoroutinefunction)
      193    0.000    0.000    0.000    0.000 os.py:738(check_str)
        1    0.000    0.000    0.006    0.006 traceback.py:318(extract)
        2    0.000    0.000    0.010    0.005 shape_base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
     1480    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 display.py:577(DisplayObject)
        1    0.000    0.000    0.017    0.017 multiarray.py:7(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:43(<lambda>)
       91    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      176    0.000    0.000    0.002    0.000 re.py:170(match)
        1    0.000    0.000    0.001    0.001 __init__.py:24(<module>)
      180    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      134    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 latex_symbols.py:14(<module>)
        1    0.000    0.000    0.094    0.094 buffer.py:4(<module>)
      112    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        7    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
      703    0.000    0.000    0.000    0.000 inspect.py:2517(name)
